,Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy
1,1,Wii Sports,Wii,Nintendo,41.49,29.02,3.77,8.46,82.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
2,2,Super Mario Bros.,NES,Nintendo,29.08,3.58,6.81,0.77,40.24,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA
3,3,Mario Kart Wii,Wii,Nintendo,15.85,12.88,3.79,3.31,35.82,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA
4,4,Wii Sports Resort,Wii,Nintendo,15.75,11.01,3.28,2.96,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
5,5,Pokemon Red/Pokemon Blue,GB,Nintendo,11.27,8.89,10.22,1,31.37,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA
6,6,Tetris,GB,Nintendo,23.2,2.26,4.22,0.58,30.26,NA,NA,NA,NA,NA,1989,NA,NA,NA,NA,NA,NA
7,7,New Super Mario Bros.,DS,Nintendo,11.38,9.23,6.5,2.9,30.01,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
8,8,Wii Play,Wii,Nintendo,14.03,9.2,2.93,2.85,29.02,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA
9,9,New Super Mario Bros. Wii,Wii,Nintendo,14.59,7.06,4.7,2.26,28.62,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
10,10,Duck Hunt,NES,Nintendo,26.93,0.63,0.28,0.47,28.31,NA,NA,NA,NA,NA,NA,NA,NA,1984,NA,NA,NA
11,11,Nintendogs,DS,Nintendo,9.07,11,1.93,2.75,24.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA
12,12,Mario Kart DS,DS,Nintendo,9.81,7.57,4.13,1.92,23.42,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA
13,13,Pokemon Gold/Pokemon Silver,GB,Nintendo,9,6.18,7.2,0.71,23.1,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA
14,14,Wii Fit,Wii,Nintendo,8.94,8.03,3.6,2.15,22.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
15,15,Wii Fit Plus,Wii,Nintendo,9.09,8.59,2.53,1.79,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
16,16,Kinect Adventures!,X360,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
17,17,Grand Theft Auto V,PS3,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,Super Mario World,SNES,Nintendo,12.78,3.75,3.54,0.55,20.61,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA
20,20,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,4.75,9.26,4.16,2.05,20.22,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA
21,21,Pokemon Diamond/Pokemon Pearl,DS,Nintendo,6.42,4.52,6.04,1.37,18.36,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
22,22,Super Mario Land,GB,Nintendo,10.83,2.71,4.18,0.42,18.14,NA,NA,NA,NA,1989,NA,NA,NA,NA,NA,NA,NA
23,23,Super Mario Bros. 3,NES,Nintendo,9.54,3.44,3.84,0.46,17.28,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA
24,24,Grand Theft Auto V,X360,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,25,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,6.06,3.9,5.38,0.5,15.85,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA
27,27,Pokemon Black/Pokemon White,DS,Nintendo,5.57,3.28,5.65,0.82,15.32,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA
28,28,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,3.44,5.36,5.32,1.18,15.3,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA
29,29,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA
30,30,Call of Duty: Modern Warfare 3,X360,Activision,9.03,4.28,0.13,1.32,14.76,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
31,31,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,5.89,5.04,3.12,0.59,14.64,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA
32,32,Call of Duty: Black Ops,X360,Activision,9.67,3.73,0.11,1.13,14.64,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA
33,33,Pokemon X/Pokemon Y,3DS,Nintendo,5.17,4.05,4.34,0.79,14.35,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA
34,34,Call of Duty: Black Ops 3,PS4,Activision,5.77,5.81,0.35,2.31,14.24,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA
35,35,Call of Duty: Black Ops II,PS3,Activision,4.99,5.88,0.65,2.52,14.03,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA
36,36,Call of Duty: Black Ops II,X360,Activision,8.25,4.3,0.07,1.12,13.73,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA
37,37,Call of Duty: Modern Warfare 2,X360,Activision,8.52,3.63,0.08,1.29,13.51,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
38,38,Call of Duty: Modern Warfare 3,PS3,Activision,5.54,5.82,0.49,1.62,13.46,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
39,39,Grand Theft Auto III,PS2,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,Super Smash Bros. Brawl,Wii,Nintendo,6.75,2.61,2.66,1.02,13.04,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,Call of Duty: Black Ops,PS3,Activision,5.98,4.44,0.48,1.83,12.73,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA
42,42,Animal Crossing: Wild World,DS,Nintendo,2.55,3.52,5.33,0.88,12.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA
43,43,Mario Kart 7,3DS,Nintendo,4.74,3.91,2.67,0.89,12.21,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA
44,44,Halo 3,X360,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA
45,45,Grand Theft Auto V Online,PS4,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
